Collection,Hadith Number,Narrated By,Hadith Text,Cluster,Pillar
bukhari,53,Narrated Sahl bin Sa`d:,"There was a dispute amongst the people of the tribe of Bani `Amr bin `Auf. The Prophet (ﷺ) went to them 
along with some of his companions in order to make peace between them. The time for the prayer 
became due but the Prophet (ﷺ) did not turn up; Bilal pronounced the Adhan (i.e. call) for the prayer but 
the Prophet (ﷺ) did not turn up, so Bilal went to Abu Bakr and said, ""The time for the prayer is due and 
the Prophet (ﷺ) i detained, would you lead the people in the prayer?"" Abu Bakr replied, ""Yes, you wish."" 
So, Bilal pronounced the Iqama of the prayer and Abu Bakr went ahead (to lead the prayer), but the 
Prophet came walking among the rows till he joined the first row. The people started clapping and 
they clapped too much, and Abu Bakr used not to look hither and thither in the prayer, but he turned 
round and saw the Prophet (ﷺ) standing behind him. The Prophet (ﷺ) beckoned him with his hand to keep on 
praying where he was. Abu Bakr raised his hand and praised Allah and then retreated till he came in 
the (first) row, and the Prophet (ﷺ) went ahead and lead the people in the prayer. When the Prophet (ﷺ) 
finished the prayer, he turned towards the people and said, ""O people! When something happens to 
you during the prayer, you start clapping. Really clapping is (permissible) for women only. If 
something happens to one of you in his prayer, he should say: 'Subhan Allah', (Glorified be Allah), for 
whoever hears him (saying so) will direct his attention towards him. O Abu Bakr! What prevented you 
from leading the people in the prayer when I beckoned to you (to continue)?"" Abu Bakr replied, ""It 
did not befit the son of Abu Quhafa to lead the prayer in front of the Prophet.",3,Salat
bukhari,54,Narrated Marwan and al-Miswar bin Makhrama:,"(from the companions of Allah's Messenger (ﷺ)) When Suhail bin `Amr agreed to the Treaty (of Hudaibiya), 
one of the things he stipulated then, was that the Prophet (ﷺ) should return to them (i.e. the pagans) 
anyone coming to him from their side, even if he was a Muslim; and would not interfere between 
them and that person. The Muslims did not like this condition and got disgusted with it. Suhail did not 
agree except with that condition. So, the Prophet (ﷺ) agreed to that condition and returned Abu Jandal to 
his father Suhail bin `Amr. Thenceforward the Prophet (ﷺ) returned everyone in that period (of truce) 
even if he was a Muslim. During that period some believing women emigrants including Um Kulthum 
bint `Uqba bin Abu Muait who came to Allah's Messenger (ﷺ) and she was a young lady then. Her relative 
came to the Prophet (ﷺ) and asked him to return her, but the Prophet (ﷺ) did not return her to them for Allah 
had revealed the following Verse regarding women: 
""O you who believe! When the believing women come to you as emigrants. Examine them, Allah 
knows best as to their belief, then if you know them for true believers, Send them not back to the 
unbelievers, (for) they are not lawful (wives) for the disbelievers, Nor are the unbelievers lawful 
(husbands) for them (60.10)",3,Others
bukhari,55,Narrated `Abdullah bin `Umar:,"Allah's Messenger (ﷺ) said, ""It is not permissible for any Muslim who has something to will to stay for two 
nights without having his last will and testament written and kept ready with him.""",1,Others
bukhari,56,Narrated `Abdullah bin Masud:,"I asked Allah's Messenger (ﷺ), ""O Allah's Messenger (ﷺ)! What is the best deed?"" He replied, ""To offer the prayers 
at their early stated fixed times."" I asked, ""What is next in goodness?"" He replied, ""To be good and 
dutiful to your parents."" I further asked, what is next in goodness?"" He replied, ""To participate in 
Jihad in Allah's Cause."" I did not ask Allah's Messenger (ﷺ) anymore and if I had asked him more, he would 
have told me more.",3,Salat
bukhari,57,Narrated `Ali:,"I got a she-camel in my share of the war booty on the day (of the battle) of Badr, and the Prophet (ﷺ) had 
given me a she-camel from the Khumus. When I intended to marry Fatima, the daughter of Allah's 
Apostle, I had an appointment with a goldsmith from the tribe of Bani Qainuqa' to go with me to bring 
Idhkhir (i.e. grass of pleasant smell) and sell it to the goldsmiths and spend its price on my wedding 
party. I was collecting for my she-camels equipment of saddles, sacks and ropes while my two shecamels 
were kneeling down beside the room of an Ansari man. I returned after collecting whatever I 
collected, to see the humps of my two she-camels cut off and their flanks cut open and some portion 
of their livers was taken out. When I saw that state of my two she-camels, I could not help weeping. I 
asked, ""Who has done this?"" The people replied, ""Hamza bin `Abdul Muttalib who is staying with 
some Ansari drunks in this house."" I went away till I reached the Prophet (ﷺ) and Zaid bin Haritha was 
with him. The Prophet (ﷺ) noticed on my face the effect of what I had suffered, so the Prophet (ﷺ) asked. 
""What is wrong with you."" I replied, ""O Allah's Messenger (ﷺ)! I have never seen such a day as today. 
Hamza attacked my two she-camels, cut off their humps, and ripped open their flanks, and he is sitting 
there in a house in the company of some drunks."" The Prophet (ﷺ) then asked for his covering sheet, put it 
on, and set out walking followed by me and Zaid bin Haritha till he came to the house where Hamza 
was. He asked permission to enter, and they allowed him, and they were drunk. Allah's Messenger (ﷺ) started 
rebuking Hamza for what he had done, but Hamza was drunk and his eyes were red. Hamza looked at 
Allah's Messenger (ﷺ) and then he raised his eyes, looking at his knees, then he raised up his eyes looking at 
his umbilicus, and again he raised up his eyes look in at his face. Hamza then said, ""Aren't you but the 
slaves of my father?"" Allah's Messenger (ﷺ) realized that he was drunk, so Allah's Messenger (ﷺ) retreated, and we 
went out with him.",3,Others
bukhari,58,Narrated `Amr bin Dinar:,"I was sitting with Jabir bin Zaid and `Amr bin Aus, and Bjalla was narrating to them in 70 A.H. the 
year when Mus`ab bin Az-Zubair was the leader of the pilgrims of Basra. We were sitting at the steps 
of Zamzam well and Bajala said, ""I was the clerk of Juz bin Muawiya, Al-Ahnaf's paternal uncle. A 
letter came from `Umar bin Al-Khattab one year before his death; and it was read:-- ""Cancel every 
marriage contracted among the Magians between relatives of close kinship (marriages that are 
regarded illegal in Islam: a relative of this sort being called Dhu-Mahram.)"" `Umar did not take the 
Jizya from the Magian infidels till `Abdur-Rahman bin `Auf testified that Allah's Messenger (ﷺ) had taken 
the Jizya from the Magians of Hajar.",1,Others
bukhari,59,Narrated `Imran bin Husain:,"Some people of Bani Tamim came to the Prophet (ﷺ) and he said (to them), ""O Bani Tamim! rejoice with 
glad tidings."" They said, ""You have given us glad tidings, now give us something."" On hearing that 
the color of his face changed then the people of Yemen came to him and he said, ""O people of Yemen 
! Accept the good tidings, as Bani Tamim has refused them."" The Yemenites said, ""We accept them. 
Then the Prophet (ﷺ) started taking about the beginning of creation and about Allah's Throne. In the mean 
time a man came saying, ""O `Imran! Your she-camel has run away!'' (I got up and went away), but l 
wish I had not left that place (for I missed what Allah's Messenger (ﷺ) had said).",3,Others
bukhari,60,Narrated Abu Huraira:,"The Prophet (ﷺ) said, ""Allah created Adam, making him 60 cubits tall. When He created him, He said to 
him, ""Go and greet that group of angels, and listen to their reply, for it will be your greeting 
(salutation) and the greeting (salutations of your offspring."" So, Adam said (to the angels), As-Salamu 
Alaikum (i.e. Peace be upon you). The angels said, ""As-salamu Alaika wa Rahmatu-l-lahi"" (i.e. Peace 
and Allah's Mercy be upon you). Thus the angels added to Adam's salutation the expression, 'Wa 
Rahmatu-l-lahi,' Any person who will enter Paradise will resemble Adam (in appearance and figure). 
People have been decreasing in stature since Adam's creation.",3,Others
bukhari,61,Narrated Ibn `Abbas:,"Regarding the Verse: 'And (We) made you into Shu'ub and Qabail-- (49.13) that Shu'uib means the 
big Qabail (i.e. nations) while the Qabail (i.e. tribes) means the branch tribes.",1,Others
bukhari,62,Narrated Abu Sa`id Al-Khudri:,"""Allah's Messenger (ﷺ) said, ""A time will come upon the people, when a group of people will wage a holy 
war and it will be said, 'Is there amongst you anyone who has accompanied Allah's Messenger (ﷺ)?' They 
will say, 'Yes.' And so victory will be bestowed on them. Then a time will come upon the people when 
a group of people will wage a holy war, and it will be said, ""Is there amongst you anynone who has 
accompanied the companions of Allah's Messenger (ﷺ)?' They will say, 'Yes.' And so victory will be 
bestowed on them. Then a time will come upon the people when a group of people will wage a holy 
war, and it will be said, ""Is there amongst you anyone who has been in the company of the 
companions of the companions of Allah's Messenger (ﷺ) ?' They will say, 'Yes.' And victory will be 
bestowed on them.""",3,Others
bukhari,63,Narrated Ghailan bin Jarir:,"I asked Anas, ""Tell me about the name 'Al-Ansar.; Did you call yourselves by it or did Allah call you 
by it?"" He said, ""Allah called us by it."" We used to visit Anas (at Basra) and he used to narrate to us 
the virtues and deeds of the Ansar, and he used to address me or a person from the tribe of Al-Azd and 
say, ""Your tribe did so-and-so on such-and-such a day.""",2,Others
bukhari,64,Narrated Abu 'Is-haq:,"Once, while I was sitting beside Zaid bin Al-Arqam, he was asked, ""How many Ghazwat did the 
Prophet undertake?"" Zaid replied, ""Nineteen."" They said, ""In how many Ghazwat did you join him?"" 
He replied, ""Seventeen."" I asked, ""Which of these was the first?"" He replied, ""Al-`Ashira or Al- 
`Ashiru.""",3,Others
bukhari,65,Narrated Abu Sa`id bin Al-Mu'alla:,"While I was praying in the Mosque, Allah's Messenger (ﷺ) called me but I did not respond to him. Later I 
said, ""O Allah's Messenger (ﷺ)! I was praying."" He said, ""Didn't Allah say'--""Give your response to Allah 
(by obeying Him) and to His Apostle when he calls you."" (8.24) 
He then said to me, ""I will teach you a Sura which is the greatest Sura in the Qur'an, before you leave 
the Mosque."" Then he got hold of my hand, and when he intended to leave (the Mosque), I said to 
him, ""Didn't you say to me, 'I will teach you a Sura which is the greatest Sura in the Qur'an?' He said, 
""Al-Hamdu-Li l-lah Rabbi-l-`alamin (i.e. Praise be to Allah, the Lord of the worlds) which is Al-Sab'a 
Al-Mathani (i.e. seven repeatedly recited Verses) and the Grand Qur'an which has been given to me.""",3,Others
bukhari,66,Narrated `Aisha and Ibn `Abbas:,"The Prophet (ﷺ) remained in Mecca for ten years, during which the Qur'an used to be revealed to him; and 
he stayed in Medina for ten years.",1,Hajj
bukhari,67,Narrated Anas bin Malik:,"A group of three men came to the houses of the wives of the Prophet (ﷺ) asking how the Prophet (ﷺ) 
worshipped (Allah), and when they were informed about that, they considered their worship 
insufficient and said, ""Where are we from the Prophet (ﷺ) as his past and future sins have been forgiven."" 
Then one of them said, ""I will offer the prayer throughout the night forever."" The other said, ""I will 
fast throughout the year and will not break my fast."" The third said, ""I will keep away from the 
women and will not marry forever."" Allah's Messenger (ﷺ) came to them and said, ""Are you the same people 
who said so-and-so? By Allah, I am more submissive to Allah and more afraid of Him than you; yet I 
fast and break my fast, I do sleep and I also marry women. So he who does not follow my tradition in 
religion, is not from me (not one of my followers).",3,Shahada
bukhari,68,Narrated `Abdullah bin `Umar:,"that he had divorced his wife while she was menstruating during the lifetime of Allah's Messenger (ﷺ) . 
`Umar bin Al-Khattab asked Allah's Messenger (ﷺ) about that. Allah's Messenger (ﷺ) said, ""Order him (your son) to 
take her back and keep her till she is clean and then to wait till she gets her next period and becomes 
clean again, whereupon, if he wishes to keep her, he can do so, and if he wishes to divorce her he can 
divorce her before having sexual intercourse with her; and that is the prescribed period which Allah 
has fixed for the women meant to be divorced.""",4,Salat
bukhari,69,Narrated Abu Mas`ud Al-Ansari:,"The Prophet (ﷺ) said, ""When a Muslim spends something on his family intending to receive Allah's 
reward it is regarded as Sadaqa for him.""",1,Others
bukhari,70,Narrated Abu Musa Al-Ash`ari:,"The Prophet (ﷺ) said, ""Give food to the hungry, pay a visit to the sick and release (set free) the one in 
captivity (by paying his ransom).",1,Others
bukhari,71,Narrated Abu Musa:,"A son was born to me and I took him to the Prophet (ﷺ) who named him Ibrahim, did Tahnik for him with 
a date, invoked Allah to bless him and returned him to me. (The narrator added: That was Abu Musa's 
eldest son.)",3,Others
bukhari,72,Narrated Adi bin Hatim:,"I asked the Prophet (ﷺ) about the game killed by a Mi'rad (i.e. a sharp-edged piece of wood or a piece of 
wood provided with a sharp piece of iron used for hunting). He said, ""If the game is killed with its 
sharp edge, eat of it, but if it is killed with its shaft, with a hit by its broad side then the game is 
(unlawful to eat) for it has been beaten to death."" I asked him about the game killed by a trained 
hound. He said, ""If the hound catches the game for you, eat of it, for killing the game by the hound, is 
like its slaughtering. But if you see with your hound or hounds another dog, and you are afraid that it 
might have shared in hunting the game with your hound and killed it, then you should not eat of it, 
because you have mentioned Allah's name on (sending) your hound only, but you have not mentioned 
it on some other hound.",2,Others
bukhari,73,Narrated Al-Bara:,"The Prophet (ﷺ) said (on the day of Idal-Adha), ""The first thing we will do on this day of ours, is to offer 
the (`Id) prayer and then return to slaughter the sacrifice. Whoever does so, he acted according to our 
Sunna (tradition), and whoever slaughtered (the sacrifice) before the prayer, what he offered was just 
meat he presented to his family, and that will not be considered as Nusak (sacrifice)."" (On hearing 
that) Abu Burda bin Niyar got up, for he had slaughtered the sacrifice before the prayer, and said, ""I 
have got a six month old ram."" The Prophet (ﷺ) said, 'Slaughter it (as a sacrifice) but it will not be 
sufficient for any-one else (as a sacrifice after you). Al-Bara' added: The Prophet (ﷺ) said, ""Whoever 
slaughtered (the sacrifice) after the prayer, he slaughtered it at the right time and followed the tradition 
of the Muslims.""",2,Salat
bukhari,74,Narrated Ibn `Umar:,"Allah's Messenger (ﷺ) said, ""Whoever drinks alcoholic drinks in the world and does not repent (before 
dying), will be deprived of it in the Hereafter.""",1,Others
bukhari,75,Narrated `Aisha:,"(the wife of the Prophet) Allah's Messenger (ﷺ) said, ""No calamity befalls a Muslim but that Allah expiates 
some of his sins because of it, even though it were the prick he receives from a thorn.""",1,Others
bukhari,76,Narrated Abu Huraira:,"The Prophet (ﷺ) said, ""There is no disease that Allah has created, except that He also has created its 
treatment.""",1,Others
bukhari,77,Narrated `Abdullah bin `Umar:,"Allah's Messenger (ﷺ) said, 'Allah will not look at the person who drags his garment (behind him) out of 
conceit.''",1,Others
bukhari,78,Narrated Al-Walid bin 'Aizar:,"I heard Abi `Amr 'Ash-Shaibani saying, ""The owner of this house."" he pointed to `Abdullah's house, 
""said, 'I asked the Prophet (ﷺ) 'Which deed is loved most by Allah?"" He replied, 'To offer prayers at their 
early (very first) stated times.' "" `Abdullah asked, ""What is the next (in goodness)?"" The Prophet (ﷺ) said, 
""To be good and dutiful to one's parents,"" `Abdullah asked, ""What is the next (in goodness)?"" The 
Prophet (ﷺ) said, ""To participate in Jihad for Allah's Cause."" `Abdullah added, ""The Prophet (ﷺ) narrated to me 
these three things, and if I had asked more, he would have told me more.""",3,Salat
bukhari,79,Narrated Abu Huraira:,"The Prophet (ﷺ) said, ""Allah created Adam in His picture, sixty cubits (about 30 meters) in height. When 
He created him, He said (to him), ""Go and greet that group of angels sitting there, and listen what they 
will say in reply to you, for that will be your greeting and the greeting of your offspring."" Adam (went 
and) said, 'As-Salamu alaikum (Peace be upon you).' They replied, 'AsSalamu-'Alaika wa 
Rahmatullah (Peace and Allah's Mercy be on you) So they increased 'Wa Rahmatullah' The Prophet (ﷺ) 
added 'So whoever will enter Paradise, will be of the shape and picture of Adam Since then the 
creation of Adam's (offspring) (i.e. stature of human beings is being diminished continuously) to the 
present time.""",3,Others
bukhari,80,Narrated Abu Huraira:,"Allah's Messenger (ﷺ) said, ""For every prophet there is one (special 
     invocation (that will not be rejected) with which he appeals (to 
     Allah), and I want to keep such an invocation for interceding for my 
     followers in the Hereafter.""",2,Others
bukhari,81,Narrated Ibn `Abbas:,"The Prophet (ﷺ) said: ""There are two blessings that many people are deceived into losing: health and free time.""",1,Others
bukhari,82,Narrated `Abdullah:,"Allah's Messenger (ﷺ), the truthful and truly-inspired, said, ""Each one of you collected in the womb of his 
mother for forty days, and then turns into a clot for an equal period (of forty days) and turns into a 
piece of flesh for a similar period (of forty days) and then Allah sends an angel and orders him to 
write four things, i.e., his provision, his age, and whether he will be of the wretched or the blessed (in 
the Hereafter). Then the soul is breathed into him. And by Allah, a person among you (or a man) may 
do deeds of the people of the Fire till there is only a cubit or an arm-breadth distance between him and 
the Fire, but then that writing (which Allah has ordered the angel to write) precedes, and he does the 
deeds of the people of Paradise and enters it; and a man may do the deeds of the people of Paradise till 
there is only a cubit or two between him and Paradise, and then that writing precedes and he does the 
deeds of the people of the Fire and enters it.""",2,Others
bukhari,83,Narrated `Aisha:,"Abu Bakr As-Siddiq had never broken his oaths till Allah revealed the expiation for the oaths. Then he 
said, ""If I take an oath to do something and later on I find something else better than the first one, then 
I do what is better and make expiation for my oath.""",2,Others
bukhari,84,Narrated Ka`b bin 'Ujra:,"I came to the Prophet (ﷺ) and he said to me, ""Come near."" So I went near to him and he said, ""Are your 
lice troubling you?"" I replied, ""Yes."" He said, ""(Shave your head and) make expiation in the form of 
fasting, Sadaqa (giving in charity), or offering a sacrifice."" (The sub-narrator) Aiyub said, ""Fasting 
should be for three days, and the Nusuk (sacrifice) is to be a sheep, and the Sadaqa is to be given to 
six poor persons.""",2,Zakat
bukhari,85,Narrated Jabir bin `Abdullah:,"I became sick so Allah's Messenger (ﷺ) and Abu Bakr came on foot to pay me a visit. When they came, I was 
unconscious. Allah's Messenger (ﷺ) performed ablution and he poured over me the water (of his ablution) 
and I came to my senses and said, ""O Allah's Messenger (ﷺ)! What shall I do regarding my property? How 
shall I distribute it?"" The Prophet (ﷺ) did not reply till the Divine Verses of inheritance were revealed .",3,Zakat
bukhari,86,Narrated Abu Huraira:,"Allah's Messenger (ﷺ) said, ""When an adulterer commits illegal sexual intercourse, then he is not a believer 
at the time he is doing it; and when somebody drinks an alcoholic drink, then he is not believer at the 
time of drinking, and when a thief steals, he is not a believer at the time when he is stealing; and when 
a robber robs and the people look at him, then he is not a believer at the time of doing it."" Abu Huraira 
in another narration, narrated the same from the Prophet (ﷺ) with the exclusion of robbery.",2,Others
bukhari,87,Narrated `Abdullah:,"A man said, ""O Allah's Messenger (ﷺ)! Which sin is the greatest in Allah's Sight?"" The Prophet (ﷺ) said, ""To set 
up a rival unto Allah though He Alone created you . "" The man said, ""What is next?"" The Prophet (ﷺ) 
said, ""To kill your son lest he should share your food with you."" The man said, ""What is next?"" The 
Prophet said, ""To commit illegal sexual intercourse with the wife of your neighbor."" So Allah 
revealed in confirmation of this narration:-- 
'And those who invoke not with Allah, any other god. Nor kill, such life as Allah has forbidden except 
for just cause nor commit illegal sexual intercourse. And whoever does this shall receive the 
punishment.' (25.68)",2,Others
bukhari,88,Narrated `Abdullah:,"When the Verse: 'It is those who believe and confuse not their belief with wrong (i.e., worshipping 
others besides Allah): (6.82) was revealed, it became very hard on the companions of the Prophet (ﷺ) and 
they said, ""Who among us has not confused his belief with wrong (oppression)?"" On that, Allah's 
Apostle said, ""This is not meant (by the Verse). Don't you listen to Luqman's statement: 'Verily! 
Joining others in worship with Allah is a great wrong indeed.' (31.13)",1,Salat
bukhari,89,Narrated Abi Huraira:,"The Prophet (ﷺ) used to invoke Allah in his prayer, ""O Allah! Save `Aiyash bin Abi Rabi`a and Salama 
bin Hisham and Al-Walid bin Al-Walid; O Allah! Save the weak among the believers; O Allah! Be 
hard upon the tribe of Mudar and inflict years (of famine) upon them like the (famine) years of 
Joseph.""",1,Salat
bukhari,90,Narrated `Umar bin Al-Khattab:,"The Prophet (ﷺ) said, 'O people! The reward of deeds depends upon the intentions, and every person will 
get the reward according to what he has intended. So, whoever emigrated for Allah and His Apostle, 
then his emigration was for Allah and His Apostle, and whoever emigrated to take worldly benefit or 
for a woman to marry, then his emigration was for what he emigrated for.""",2,Others
bukhari,91,Narrated `Aisha:,"The commencement of the Divine Inspiration to Allah's Messenger (ﷺ) was in the form of good righteous 
(true) dreams in his sleep. He never had a dream but that it came true like bright day light. He used to 
go in seclusion (the cave of) Hira where he used to worship(Allah Alone) continuously for many 
(days) nights. He used to take with him the journey food for that (stay) and then come back to (his 
wife) Khadija to take his food like-wise again for another period to stay, till suddenly the Truth 
descended upon him while he was in the cave of Hira. The angel came to him in it and asked him to 
read. The Prophet (ﷺ) replied, ""I do not know how to read."" (The Prophet (ﷺ) added), ""The angel caught me 
(forcefully) and pressed me so hard that I could not bear it anymore. He then released me and again 
asked me to read, and I replied, ""I do not know how to read,"" whereupon he caught me again and 
pressed me a second time till I could not bear it anymore. He then released me and asked me again to 
read, but again I replied, ""I do not know how to read (or, what shall I read?)."" Thereupon he caught 
me for the third time and pressed me and then released me and said, ""Read: In the Name of your Lord, 
Who has created (all that exists). Has created man from a clot. Read and Your Lord is Most 
Generous...up to..... ..that which he knew not."" (96.15) 
Then Allah's Messenger (ﷺ) returned with the Inspiration, his neck muscles twitching with terror till he 
entered upon Khadija and said, ""Cover me! Cover me!"" They covered him till his fear was over and 
then he said, ""O Khadija, what is wrong with me?"" Then he told her everything that had happened and 
said, 'I fear that something may happen to me."" Khadija said, 'Never! But have the glad tidings, for by 
Allah, Allah will never disgrace you as you keep good reactions with your Kith and kin, speak the 
truth, help the poor and the destitute, serve your guest generously and assist the deserving, calamityafflicted 
ones."" Khadija then accompanied him to (her cousin) Waraqa bin Naufal bin Asad bin 
`Abdul `Uzza bin Qusai. Waraqa was the son of her paternal uncle, i.e., her father's brother, who 
during the Pre-Islamic Period became a Christian and used to write the Arabic writing and used to 
write of the Gospels in Arabic as much as Allah wished him to write. He was an old man and had lost 
his eyesight. Khadija said to him, ""O my cousin! Listen to the story of your nephew."" Waraqa asked, 
""O my nephew! What have you seen?"" The Prophet (ﷺ) described whatever he had seen. 
Waraqa said, ""This is the same Namus (i.e., Gabriel, the Angel who keeps the secrets) whom Allah 
had sent to Moses. I wish I were young and could live up to the time when your people would turn 
you out."" Allah's Messenger (ﷺ) asked, ""Will they turn me out?"" Waraqa replied in the affirmative and said: 
""Never did a man come with something similar to what you have brought but was treated with 
hostility. If I should remain alive till the day when you will be turned out then I would support you 
strongly."" But after a few days Waraqa died and the Divine Inspiration was also paused for a while 
and the Prophet (ﷺ) became so sad as we have heard that he intended several times to throw himself from 
the tops of high mountains and every time he went up the top of a mountain in order to throw himself 
down, Gabriel would appear before him and say, ""O Muhammad! You are indeed Allah's Messenger (ﷺ) in 
truth"" whereupon his heart would become quiet and he would calm down and would return home. And 
whenever the period of the coming of the inspiration used to become long, he would do as before, but 
when he used to reach the top of a mountain, Gabriel would appear before him and say to him what he 
had said before. (Ibn `Abbas said regarding the meaning of: 'He it is that Cleaves the daybreak (from 
the darkness)' (6.96) that Al-Asbah. means the light of the sun during the day and the light of the 
moon at night).",3,Salat
bukhari,92,Narrated Asma':,"The Prophet (ﷺ) said, ""I will be at my Lake-Fount (Kauthar) waiting for whoever will come to me. Then 
some people will be taken away from me whereupon I will say, 'My followers!' It will be said, 'You 
do not know they turned Apostates as renegades (deserted their religion).'"" (Ibn Abi Mulaika said, 
""Allah, we seek refuge with You from turning on our heels from the (Islamic) religion and from being 
put to trial"").",3,Others
bukhari,93,Narrated Abu Huraira:,"Allah's Messenger (ﷺ) said, ""Whoever obeys me, obeys Allah, and whoever disobeys me, disobeys Allah, 
and whoever obeys the ruler I appoint, obeys me, and whoever disobeys him, disobeys me.""",1,Others
bukhari,94,Narrated Abu Huraira:,"I heard Allah's Messenger (ﷺ) saying, ""By Him in Whose Hands my life is! Were it not for some men who 
dislike to be left behind and for whom I do not have means of conveyance, I would not stay away 
(from any Holy Battle). I would love to be martyred in Allah's Cause and come to life and then get, 
martyred and then come to life and then get martyred and then get resurrected and then get martyred.",1,Others
bukhari,95,Narrated Malik:,"We came to the Prophet (ﷺ) and we were young men nearly of equal ages and we stayed with him for 
twenty nights. Allah's Messenger (ﷺ) was a very kind man and when he realized our longing for our families, 
he asked us about those whom we had left behind. When we informed him, he said, ""Go back to your 
families and stay with them and teach them (religion) and order them (to do good deeds). The Prophet (ﷺ) 
mentioned things some of which I remembered and some I did not. Then he said, ""Pray as you have 
seen me praying, and when it is the time of prayer, one of you should pronounce the call (Adhan) for 
the prayer and the eldest of you should lead the prayer. """,3,Salat
bukhari,96,Narrated Tariq bin Shihab:,"A Jew said to `Umar, ""O Chief of the Believers, if this verse: 'This day I have perfected your religion 
for you, completed My favors upon you, and have chosen for you, Islam as your religion.' (5.3) had 
been revealed upon us, we would have taken that day as an `Id (festival) day."" `Umar said, ""I know 
definitely on what day this Verse was revealed; it was revealed on the day of `Arafat, on a Friday.""",3,Others
bukhari,97,Narrated Ibn 'Abbas (ra):,The Prophet (ﷺ) sent Mu'adh to Yemen.,1,Others
muslim,1,It is narrated on the authority of Yahya b. Ya'mur that the first man who discussedqadr(Divine Decree) in Basra was Ma'bad al-Juhani. I along with Humaid b. 'Abdur-Rahman Himyari set out for pilgrimage or for 'Umrah and said:,"Should it so happen that we come into contact with one of the Companions of the Messenger of Allah (peace be upon him) we shall ask him about what is talked abouttaqdir(Divine Decree). Accidentally we came across Abdullah ibn Umar ibn al-Khattab, while he was entering the mosque. My companion and I surrounded him. One of us (stood) on his right and the other stood on his left. I expected that my companion would authorize me to speak. I therefore said: Abu Abdur Rahman! There have appeared some people in our land who recite the Qur'an and pursue knowledge. And then after talking about their affairs, added: They (such people) claim that there is no such thing as Divine Decree and events are not predestined. He (Abdullah ibn Umar) said: When you happen to meet such people tell them that I have nothing to do with them and they have nothing to do with me. And verily they are in no way responsible for my (belief). Abdullah ibn Umar swore by Him (the Lord) (and said): If any one of them (who does not believe in the Divine Decree) had with him gold equal to the bulk of (the mountain) Uhud and spent it (in the way of Allah), Allah would not accept it unless he affirmed his faith in Divine Decree. He further said: My father, Umar ibn al-Khattab, told me: One day we were sitting in the company of Allah's Apostle (peace be upon him) when there appeared before us a man dressed in pure white clothes, his hair extraordinarily black. There were no signs of travel on him. None amongst us recognized him. At last he sat with the Apostle (peace be upon him) He knelt before him placed his palms on his thighs and said: Muhammad, inform me about al-Islam. The Messenger of Allah (peace be upon him) said: Al-Islam implies that you testify that there is no god but Allah and that Muhammad is the messenger of Allah, and you establish prayer, pay Zakat, observe the fast of Ramadan, and perform pilgrimage to the (House) if you are solvent enough (to bear the expense of) the journey. He (the inquirer) said: You have told the truth. He (Umar ibn al-Khattab) said: It amazed us that he would put the question and then he would himself verify the truth. He (the inquirer) said: Inform me about Iman (faith). He (the Holy Prophet) replied: That you affirm your faith in Allah, in His angels, in His Books, in His Apostles, in the Day of Judgment, and you affirm your faith in the Divine Decree about good and evil. He (the inquirer) said: You have told the truth. He (the inquirer) again said: Inform me about al-Ihsan (performance of good deeds). He (the Holy Prophet) said: That you worship Allah as if you are seeing Him, for though you don't see Him, He, verily, sees you. He (the enquirer) again said: Inform me about the hour (of the Doom). He (the Holy Prophet) remarked: One who is asked knows no more than the one who is inquiring (about it). He (the inquirer) said: Tell me some of its indications. He (the Holy Prophet) said: That the slave-girl will give birth to her mistress and master, that you will find barefooted, destitute goat-herds vying with one another in the construction of magnificent buildings. He (the narrator, Umar ibn al-Khattab) said: Then he (the inquirer) went on his way but I stayed with him (the Holy Prophet) for a long while. He then, said to me: Umar, do you know who this inquirer was? I replied: Allah and His Apostle knows best. He (the Holy Prophet) remarked: He was Gabriel (the angel). He came to you in order to instruct you in matters of religion.",3,Shahada
muslim,2,Abu Malik at-Ash'ari reported:,"The Messenger of Allah (ﷺ) said: Cleanliness is half of faith and al-Hamdu Lillah (all praise and gratitude is for Allah alone) fills the scale, and Subhan Allah (Glory be to Allah) and al-Hamdu Lillah fill up what is between the heavens and the earth, and prayer is a light, and charity is proof (of one's faith) and endurance is a brightness and the Holy Qur'an is a proof on your behalf or against you. All men go out early in the morning and sell themselves, thereby setting themselves free or destroying themselves.",2,Shahada
muslim,3,'A'isha reported:,"When anyone amongst us (amongst the wives of the Holy Prophet) menstruated, the Messenger of Allah (ﷺ) asked her to tie a waist-wrapper over her (body) and then embraced her.",4,Others
muslim,4,Ibn Umar reported:,"When the Muslims came to Medina, they gathered and sought to know the time of prayer but no one summoned them. One day they discussed the matter, and some of them said: Use something like the bell of the Christians and some of them said: Use horn like that of the Jews. Umar said: Why may not a be appointed who should call (people) to prayer? The Messenger of Allah (ﷺ) said: O Bilal, get up and summon (the people) to prayer.",3,Salat
